day	posts	likes	reactions	comments	shares
2016-10-08	4	1	1	1	3
2016-10-09	1	0	0	0	0
2016-10-10	1	0	0	0	0
2016-10-11	0	0	0	0	0
2016-10-12	2	0	0	0	0
2016-10-13	1	0	0	0	0
2016-10-14	0	0	0	0	0
2016-10-15	1	0	0	0	0
2016-10-16	0	0	0	0	0
2016-10-17	1	0	0	0	0
2016-10-18	0	0	0	0	0
2016-10-19	1	0	0	0	0
2016-10-20	0	0	0	0	0
2016-10-21	2	0	0	0	0
2016-10-22	1	0	0	17	0
2016-10-23	1	0	0	0	0
2016-10-24	0	0	0	0	0
2016-10-25	0	0	0	0	0
2016-10-26	1	0	0	0	0
2016-10-27	3	0	0	0	0
2016-10-28	0	0	0	0	0
2016-10-29	0	0	0	0	0
2016-10-30	0	0	0	0	0
2016-10-31	1	0	0	0	0
2016-11-01	2	0	0	0	0
2016-11-02	0	0	0	0	0
2016-11-03	1	0	0	0	0
2016-11-04	4	78	83	67	72
2016-11-05	0	0	0	0	0
2016-11-06	0	0	0	0	0
2016-11-07	1	0	0	0	0
2016-11-08	1	0	0	0	0
2016-11-09	2	0	0	0	0
2016-11-10	0	0	0	0	0
2016-11-11	2	0	0	0	0
2016-11-12	0	0	0	0	0
2016-11-13	0	0	0	0	0
2016-11-14	0	0	0	0	0
2016-11-15	1	0	0	0	0
2016-11-16	3	0	0	0	0
2016-11-17	3	0	0	0	0
2016-11-18	9	0	0	0	0
2016-11-19	0	0	0	0	0
