position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count
24_0	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_777840812355431	d72dd55bf44a9d2705db19305424421c9bde03b5	0	Vero condivido... Ma non capisco una cosa perché tutti dicono che è scritta male? http://www.ilfattoquotidiano.it/2016/09/15/referendum-renzi-vende-il-si-dando-cambio-litalicum-come-apple-nel-marketing-punta-sugli-accessori/3027339/	2016-11-05T14:06:55+0000	0
24_1	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_778575292281983	0511c83ef6b303ab03271de3551a0054d143aa24	1	Fosse solo per questo io voto SÌ	2016-11-06T21:03:36+0000	2
24_2	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_780155112124001	3b319b1982e38a3e6c0f16de1e7d13ff47051337	1	È incredibile votare No!! MA è ancora peggio votare ciò che vogliono proprio quei politici che non hanno fatto nulla per l'Italia!!! #iovotoNO	2016-11-09T20:24:07+0000	5
24_3	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_784915168314662	522dd9b20abd4801dfb1910afee6aea9e799fceb	1	Scusate. Voi credete davvero che i 300 senatori verranno mandati a casa? Mah..	2016-11-18T21:56:06+0000	0
24_4	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_784915604981285	522dd9b20abd4801dfb1910afee6aea9e799fceb	1	Non è incredibile votare no. È la cosa più coerente di fronte ad una riforma inesistente. Tante belle parole, tanto fumo, ma zero sostanza. È un po' una presa in giro, mi spiace dirlo, ma avevano l'occasione di proporre qualcosa di veramente sensato, e invece ci hanno preso nuovamente per i fondelli..	2016-11-18T21:57:49+0000	0
24_5	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_778480595624786	258014568aec9481b7513241004e7eef1216fdf0	0	Per 40 anni questi politici non hanno fatto nulla per l Italia e si ha il coraggio di dire io voto No, io invece voto Si ,300 parlamentari a casa	2016-11-06T17:42:18+0000	6
24_6	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_784404875032358	5b292f2e059eadd8a3bfdd61ba78e654dbe31971	1	E cosa c'entra col referendum? Va beh che i grillini se non parlano di referendum ogni 5 minuti vanno in depressione..	2016-11-17T21:17:24+0000	0
24_7	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_779470415525804	0a26fb5f58233674bcc3d9dcb939d0358cb3815d	0	Salve a tutti, vorrei fare una domanda se possibile, vorrei sapere come mai dal 2017 si pagherà il ticket su 24 interventi tipo tunnel carpale o cataratta, che oggi sono gratis?	2016-11-08T16:17:57+0000	0
24_8	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_780986185374227	b2f7cf4cb5be85d851faa8a764b833e1716fbe2c	0	Amici di BlackRock e nemici delle realtà locali. W il federalismo, w il NO.	2016-11-11T07:31:32+0000	6
24_9	646923735447140_777173745755471	1c95f23883b588992fa0fdb093ce1dea80368b18	I sostenitori del NO sono talmente numerosi  al punto da aver creato i sodalizi più disparati: senatori autorevoli che hanno votato per la stessa riforma in parlamento  come Mario Monti; populisti che lamentano il costo esorbitante e la corruzione del governo italiano  come Beppe Grillo; addirittura alcuni esponenti del partito di Renzi che in passato hanno guidato commissioni per varare analoghe modifiche costituzionali  come Massimo D Alema  cariatidi della  casta  più becera quali Cirino Pomicino  Gianfranco Fini  Ciriaco De Mita  Pierluigi Bersani   nostalgici di ideologie del secolo scorso quali Bertinotti  Vendola  Ferrero  e per finire anche quel poco che resta del sacro romano impero di Arcore. Ebbene è chiaro anche ai neonati che costoro non sono uniti dalla contrarietà alla riforma  quanto da una malcelata insofferenza ed invidia nei confronti di Matteo Renzi che con tutti i suoi limiti e difetti ha fatto in due anni ciò che questa armata Brancaleone non ha fatto in trenta anni.	2016-11-04T07:20:30+0000	777173745755471_783462731793239	dcfcdc0032218889eddcfd27a61d59e9180d8b7b	0	Urgentissimo!!!!!!! sono residente a Milano ma devo votare a Bari....come posso fare!????il giorno del referendum sarò in un altra città	2016-11-15T20:52:07+0000	0
