type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_user_976925292377312	976925292377312_1198589746877531	https://www.facebook.com/976925292377312/posts/1198589746877531	#Referendum  #costituzione www.youreporter.it non è schierato  ma il messaggio con i cartelli di questa anziana  per i giovani  è troppo bello per non essere condiviso... Referendum 4 Dicembre: NO a  trivellare  la Costituzione	https://external.xx.fbcdn.net/safe_image.php?d=AQAODotQHALDk0eV&w=130&h=130&url=http%3A%2F%2Fd3vxkpc0huy01b.cloudfront.net%2Ffb-640x360%2F187147.jpg&cfs=1&sx=220&sy=0&sw=720&sh=720	https://external.xx.fbcdn.net/safe_image.php?d=AQDev5FKmqPPCh_Q&url=http%3A%2F%2Fd3vxkpc0huy01b.cloudfront.net%2Ffb-640x360%2F187147.jpg	http://www.youreporter.it/video_Signora_84enne_ha_un_messaggio_per_gli_Italiani_IL_VIDEO	youreporter.it	2016-11-18T17:58:20+0000	1479491900	2016-11-18 18:58:20	48	7	52	38	97	7	6	1	0	0	48	1	2	0	0	1	0
photo	post_user_976925292377312	976925292377312_10211214066818416	https://www.facebook.com/976925292377312/posts/10211214066818416	  Il nostro paese ha fronteggiato momenti peggiori  abbiamo una meravigliosa Costituzione a garantirci .  Tom Hanks a New York parla dell America di Trump  ma ci ricorda una verità universale. Le Costituzioni servono a difenderci dal potere dei peggiori  molto più che a permettere il governo dei migliori. Anche per questo #votoNo   Giovanni Paglia	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15055683_10211214066818416_2336791571852195959_n.jpg?oh=e27ccb97bf98bfa5b6024421bc9c78bd&oe=588A9A75	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15055683_10211214066818416_2336791571852195959_n.jpg?oh=15ebe62d73a9a4806e960b0c36390c74&oe=58D05178	https://www.facebook.com/photo.php?fbid=10211214066818416&set=o.976925292377312&type=3	facebook.com	2016-11-18T15:05:53+0000	1479481553	2016-11-18 16:05:53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_page_976925292377312	976925292377312_1198400313563141	https://www.facebook.com/976925292377312/posts/1198400313563141	Referendum 4 Dicembre: NO a  trivellare  la Costituzione added a new photo.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13439081_1198400313563141_5723800921802647533_n.jpg?oh=c6f1cf1d6791b36e969d045877dee89c&oe=58B6EA09	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13439081_1198400313563141_5723800921802647533_n.jpg?oh=a435a803b2929075165c99eb9b2c58a7&oe=58BC561C	https://www.facebook.com/NOaTRIVELLARElaCOSTITUZIONE/photos/a.984530951616746.1073741828.976925292377312/1198400313563141/?type=3	facebook.com	2016-11-18T13:46:09+0000	1479476769	2016-11-18 14:46:09	44	0	47	17	64	0	0	0	0	0	44	1	0	2	0	0	0
photo	post_user_976925292377312	976925292377312_10211212915029622	https://www.facebook.com/976925292377312/posts/10211212915029622	...SUVVIA!  --  di Antonio Cocchi Panebianco  Ora  io lo so che sono un po  bellicoso e spigoloso  soprattutto quando si discute di politica  però  veramente  perché dovreste votare SI  via! Almeno quelli che hanno dei figli o dei nipoti  riflettano sulla questione! Perché dovreste esprimere un voto che ridurrà i loro diritti! Insomma  non volete che crescano e che vivano godendo degli stessi diritti di cui avete goduto voi? Fatelo almeno per loro  al referendum votate NO.  DIPINTO: Antonio Cocchi Panebianco alias Coccejus: https://www.facebook.com/coccejus-pittore-figurativo-135512139811945/)	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15036455_10211212915029622_7843642436829074717_n.jpg?oh=a4bf67cfcce7ebd3f46c49e3b39e3cac&oe=5887A0F3	https://scontent.xx.fbcdn.net/v/t1.0-9/15036455_10211212915029622_7843642436829074717_n.jpg?oh=df1aff189cbb39829e674aee2aa9fc79&oe=58C87715	https://www.facebook.com/photo.php?fbid=10211212915029622&set=o.976925292377312&type=3	facebook.com	2016-11-18T12:32:57+0000	1479472377	2016-11-18 13:32:57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_976925292377312	976925292377312_1674485152864811	https://www.facebook.com/976925292377312/posts/1674485152864811	Anche un frontale con un tram è un cambiamento.	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/1044148_1644453845867942_8255406618138922128_n.jpg?oh=617e8a7f5f78d58c9c4989e7a2793f41&oe=58D50D5E	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/1044148_1644453845867942_8255406618138922128_n.jpg?oh=844f102f9c4ed00a14f0d8195a8d8136&oe=5889F7A1	https://www.facebook.com/SevinceilN0/photos/a.1644452542534739.1073741834.1628594934120500/1644453845867942/?type=3	facebook.com	2016-11-18T09:13:32+0000	1479460412	2016-11-18 10:13:32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
link	post_user_976925292377312	976925292377312_1082813741827011	https://www.facebook.com/976925292377312/posts/1082813741827011	Ascolta l’intervento di Moni Ovadia  uomo di teatro.	https://external.xx.fbcdn.net/safe_image.php?d=AQBgXoNzgM9aigcL&w=130&h=130&url=http%3A%2F%2Fwww.radiocora.it%2Fwp-content%2Fuploads%2F2016%2F11%2FP_20161117_200757-225x300.jpg&cfs=1&sx=0&sy=0&sw=225&sh=225	https://external.xx.fbcdn.net/safe_image.php?d=AQDiuivQsoNV_pcE&url=http%3A%2F%2Fwww.radiocora.it%2Fwp-content%2Fuploads%2F2016%2F11%2FP_20161117_200757-225x300.jpg	http://www.radiocora.it/post?pst=28485&cat=news	radiocora.it	2016-11-18T09:00:18+0000	1479459618	2016-11-18 10:00:18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_976925292377312	976925292377312_10211209546665415	https://www.facebook.com/976925292377312/posts/10211209546665415	(da Maria Caffarra Tortorelli)  VOTO NO perché non deve essere la Società finanziaria americana J P Morgan a dirmi che devo cambiare la Costituzione: mi insospettisce !  VOTO NO perché non voglio sindaci e consiglieri regionali con immunità sia come senatori sia come amministratori comunali : sarebbe una pacchia ( per loro! )  VOTO NO perché fa ridere nominare senatori dei 18enni visto che sindaci e consiglieri possono aver anche quella età. 😂  VOTO No perché la Costituzione fu scritta da tutti i rappresentanti dei diversi orientamenti politici mentre oggi è il frutto di un solo partito.  VOTO NO perché la Confindustria vota si e forse avrà degli interessi che non coincidono con i miei.  FOTO: dal profilo dell autrice	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/15135819_10211209546665415_1617131522473750756_n.jpg?oh=f3b03fb5dec66cb4784a6952aac97954&oe=58C441BC	https://scontent.xx.fbcdn.net/v/t1.0-9/15135819_10211209546665415_1617131522473750756_n.jpg?oh=a90a207372e8e757089df9b8422186e2&oe=5889CC1B	https://www.facebook.com/photo.php?fbid=10211209546665415&set=o.976925292377312&type=3	facebook.com	2016-11-18T00:21:24+0000	1479428484	2016-11-18 01:21:24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_976925292377312	976925292377312_10211209461823294	https://www.facebook.com/976925292377312/posts/10211209461823294	(da DONATELLA DONATI)  Questo referendum per me è molto più importante delle elezioni e non ho il minimo dubbio su come votare. E nemmeno ebbi dubbi al referendum del  93 in cui sciaguratamente fu abbandonato il sistema elettorale proporzionale. Tante persone di sinistra votarono per il maggioritario  anche allora inseguendo la governabilità  come se la governabilità potesse eludere la rappresentanza. Se le minoranze non sono rappresentate in parlamento  le tensioni si esprimeranno in modo più forte e disordinato sul piano sociale  NO? E allora come si governa? Con la polizia?   Foto: dONatella dONati  #iodicoNO  FOTO: Donatella Donati	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15107389_10211209461823294_1833427317115408029_n.jpg?oh=f351dd70a9fb7261ba07cd0263b2bc31&oe=58B80210	https://scontent.xx.fbcdn.net/v/t1.0-9/15107389_10211209461823294_1833427317115408029_n.jpg?oh=2578d7b45064fc0cb3a9fae82b216fb0&oe=58C756F6	https://www.facebook.com/photo.php?fbid=10211209461823294&set=o.976925292377312&type=3	facebook.com	2016-11-18T00:09:31+0000	1479427771	2016-11-18 01:09:31	1	0	2	0	2	0	0	0	0	0	1	0	0	0	0	1	0
link	post_user_976925292377312	976925292377312_1081760611932324	https://www.facebook.com/976925292377312/posts/1081760611932324	Ascolta l intervento dell On. Marisa Nicchi (Sinistra Italiana) durante il dibattito “Riforma della Costituzione e centralità del Parlamento”.	https://external.xx.fbcdn.net/safe_image.php?d=AQDrv3iSw_aaPQz9&w=130&h=130&url=http%3A%2F%2Fwww.radiocora.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fmarisa-nicchi-287x300.jpg&cfs=1&sx=0&sy=4&sw=287&sh=287	https://external.xx.fbcdn.net/safe_image.php?d=AQDFrQZV_qhFuRsT&url=http%3A%2F%2Fwww.radiocora.it%2Fwp-content%2Fuploads%2F2016%2F11%2Fmarisa-nicchi-287x300.jpg	http://www.radiocora.it/post?pst=28449&cat=podcast	radiocora.it	2016-11-17T09:31:54+0000	1479375114	2016-11-17 10:31:54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_976925292377312	976925292377312_1674027559577237	https://www.facebook.com/976925292377312/posts/1674027559577237	Condividete.  Mipiaciate  la pagina. Invitate a  mipiaciare . Inviateci le vostre battute sulle catastrofi che avverranno nel caso in cui vinca il NO!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14708141_1655154581464535_6399177392616356168_n.jpg?oh=fabbdf432bee977ee603e058f58acbe0&oe=58BF931D	https://scontent.xx.fbcdn.net/t31.0-8/s720x720/14691894_1655154581464535_6399177392616356168_o.jpg	https://www.facebook.com/SevinceilN0/photos/a.1634578303522163.1073741832.1628594934120500/1655154581464535/?type=3	facebook.com	2016-11-17T09:25:57+0000	1479374757	2016-11-17 10:25:57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
